id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31035597,2750 - AB Barceloneta Fisherman IV - Stylish One-Bedroom Apartment With Balcony Just Two Minutes from Beach,170716140,Robbie & Kay,Ciutat Vella,la Barceloneta,41.37745,2.18999,Entire home/apt,60,32,0,,,130,0
31035694,APARTAMENTO CON TRES BALCONES (BHM2-2824),193618270,Alba,Ciutat Vella,el Raval,41.3819,2.17188,Entire home/apt,98,32,0,,,120,240
31036081,APARTAMENTO VINTAGE FAMILIAR - SANTS (BHM2-2420),193618270,Alba,Sants-Montjuïc,Sants,41.38088,2.1358,Entire home/apt,92,32,0,,,120,198
31036160,EXCLUSIVO APARTAMENTO CON PISCINA (BHM2-2925),193618270,Alba,Ciutat Vella,el Barri Gòtic,41.37773,2.17747,Entire home/apt,180,32,0,,,120,67
31036491,HABITACIÓN INDIVIDUAL PARA CHICAS (BHM2-3479),193618270,Alba,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40606,2.16694,Private room,18,32,0,,,120,213
31036497,LUJOSO APARTAMENTO CAMP NOU (BHM2-2708),193618270,Alba,Les Corts,la Maternitat i Sant Ramon,41.37783,2.11667,Entire home/apt,99,32,0,,,120,224
31039960,BIG double bed room in center of Barcelona,231834160,David,Eixample,l'Antiga Esquerra de l'Eixample,41.39064,2.16086,Private room,99,1,21,2019-04-26,2.88,2,90
31040094,Sweet&Comfy near the beach at Bogatel's metro stop,231845783,Iri,Sant Martí,el Parc i la Llacuna del Poblenou,41.39502,2.19212,Private room,60,1,5,2019-07-18,3.06,2,161
31042977,"Triple Room, in Hospital Clínic",159096046,Iza,Eixample,l'Antiga Esquerra de l'Eixample,41.39153,2.15218,Private room,44,1,29,2019-08-07,3.85,4,171
31046919,CLASSBEDROOM PORT RAMBLAS 1,6099660,Barcelona Bedroom,Ciutat Vella,el Raval,41.37827,2.17459,Entire home/apt,150,1,9,2019-07-12,1.32,47,69
31046927,CLASSBEDROOM PORT RAMBLAS 2,6099660,Barcelona Bedroom,Ciutat Vella,el Raval,41.37826,2.17428,Entire home/apt,150,1,7,2019-07-15,0.99,47,73
31046970,CLASSBEDROOM PORT RAMBLAS 3,6099660,Barcelona Bedroom,Ciutat Vella,el Raval,41.37776,2.17528,Entire home/apt,150,1,8,2019-07-21,1.09,47,67
31048079,MODERNO PISO EN GRAN VIA (BHM2-3420),193618270,Alba,Eixample,Sant Antoni,41.37908,2.15467,Entire home/apt,85,32,0,,,120,308
31049166,Maura room,220420692,Maura,Ciutat Vella,el Raval,41.38089,2.166,Private room,30,1,24,2019-06-27,4.42,1,0
31049691,Single room in Barcelona Glorias,231626537,Norma,Sant Martí,el Clot,41.40792,2.19174,Private room,18,5,1,2019-06-01,0.41,1,0
